Country Code,Province Code,Holiday Name,Type of Holiday,Date,Start,End
AG,10,Christmas Day,public,2018-12-25 00:00:00,2018-12-25T04:00:00.000Z,2018-12-26T04:00:00.000Z
AG,10,Boxing Day,public,2018-12-26 00:00:00,2018-12-26T04:00:00.000Z,2018-12-27T04:00:00.000Z
AG,10,New Year's Day,public,2019-01-01 00:00:00,2019-01-01T04:00:00.000Z,2019-01-02T04:00:00.000Z
AG,10,Good Friday,public,2019-04-19 00:00:00,2019-04-19T04:00:00.000Z,2019-04-20T04:00:00.000Z
AG,10,Easter Sunday,observance,2019-04-21 00:00:00,2019-04-21T04:00:00.000Z,2019-04-22T04:00:00.000Z
AG,10,Easter Monday,public,2019-04-22 00:00:00,2019-04-22T04:00:00.000Z,2019-04-23T04:00:00.000Z
AG,10,Labour Day,public,2019-05-01 00:00:00,2019-05-01T04:00:00.000Z,2019-05-02T04:00:00.000Z
AG,10,Caribana,observance,2019-06-07 00:00:00,2019-06-07T04:00:00.000Z,2019-06-11T04:00:00.000Z
AG,10,Pentecost,observance,2019-06-09 00:00:00,2019-06-09T04:00:00.000Z,2019-06-10T04:00:00.000Z
AG,10,Whit Monday,public,2019-06-10 00:00:00,2019-06-10T04:00:00.000Z,2019-06-11T04:00:00.000Z
AG,10,J'Ouvert Morning,public,2019-08-01 00:00:00,2019-08-01T04:00:00.000Z,2019-08-02T04:00:00.000Z
AG,10,Last Lap,public,2019-08-02 00:00:00,2019-08-02T04:00:00.000Z,2019-08-03T04:00:00.000Z
AG,10,Independence Day,public,2019-11-01 00:00:00,2019-11-01T04:00:00.000Z,2019-11-02T04:00:00.000Z
AG,10,V.C Bird Day,public,2019-12-09 00:00:00,2019-12-09T04:00:00.000Z,2019-12-10T04:00:00.000Z
AG,10,Christmas Day,public,2019-12-25 00:00:00,2019-12-25T04:00:00.000Z,2019-12-26T04:00:00.000Z
AG,10,Boxing Day,public,2019-12-26 00:00:00,2019-12-26T04:00:00.000Z,2019-12-27T04:00:00.000Z
AI,,New Year's Day,public,2018-01-01 00:00:00,2018-01-01T04:00:00.000Z,2018-01-02T04:00:00.000Z
AI,,James Ronald Webster Day,public,2018-03-02 00:00:00,2018-03-02T04:00:00.000Z,2018-03-03T04:00:00.000Z
AI,,Good Friday,public,2018-03-30 00:00:00,2018-03-30T04:00:00.000Z,2018-03-31T04:00:00.000Z
AI,,Easter Sunday,observance,2018-04-01 00:00:00,2018-04-01T04:00:00.000Z,2018-04-02T04:00:00.000Z
AI,,Easter Monday,public,2018-04-02 00:00:00,2018-04-02T04:00:00.000Z,2018-04-03T04:00:00.000Z
AI,,Labour Day,public,2018-05-01 00:00:00,2018-05-01T04:00:00.000Z,2018-05-02T04:00:00.000Z
AI,,Pentecost,observance,2018-05-20 00:00:00,2018-05-20T04:00:00.000Z,2018-05-21T04:00:00.000Z
AI,,Whit Monday,public,2018-05-21 00:00:00,2018-05-21T04:00:00.000Z,2018-05-22T04:00:00.000Z
AI,,Anguilla Day,public,2018-05-30 00:00:00,2018-05-30T04:00:00.000Z,2018-05-31T04:00:00.000Z
AI,,Celebration of the Birthday of Her Majesty the Queen,public,2018-06-11 00:00:00,2018-06-11T04:00:00.000Z,2018-06-12T04:00:00.000Z
AI,,August Thursday,public,2018-08-02 00:00:00,2018-08-02T04:00:00.000Z,2018-08-03T04:00:00.000Z
AI,,Constitution Day,public,2018-08-03 00:00:00,2018-08-03T04:00:00.000Z,2018-08-04T04:00:00.000Z
AI,,August Monday,public,2018-08-06 00:00:00,2018-08-06T04:00:00.000Z,2018-08-07T04:00:00.000Z
AI,,National Heroes and Heroines Day,public,2018-12-19 00:00:00,2018-12-19T04:00:00.000Z,2018-12-20T04:00:00.000Z
AI,,Christmas Day,public,2018-12-25 00:00:00,2018-12-25T04:00:00.000Z,2018-12-26T04:00:00.000Z
AI,,Boxing Day,public,2018-12-26 00:00:00,2018-12-26T04:00:00.000Z,2018-12-27T04:00:00.000Z
AI,,New Year's Day,public,2019-01-01 00:00:00,2019-01-01T04:00:00.000Z,2019-01-02T04:00:00.000Z
AI,,James Ronald Webster Day,public,2019-03-02 00:00:00,2019-03-02T04:00:00.000Z,2019-03-03T04:00:00.000Z
AI,,Good Friday,public,2019-04-19 00:00:00,2019-04-19T04:00:00.000Z,2019-04-20T04:00:00.000Z
AI,,Easter Sunday,observance,2019-04-21 00:00:00,2019-04-21T04:00:00.000Z,2019-04-22T04:00:00.000Z
AI,,Easter Monday,public,2019-04-22 00:00:00,2019-04-22T04:00:00.000Z,2019-04-23T04:00:00.000Z
AI,,Labour Day,public,2019-05-01 00:00:00,2019-05-01T04:00:00.000Z,2019-05-02T04:00:00.000Z
AI,,Anguilla Day,public,2019-05-30 00:00:00,2019-05-30T04:00:00.000Z,2019-05-31T04:00:00.000Z
AI,,Pentecost,observance,2019-06-09 00:00:00,2019-06-09T04:00:00.000Z,2019-06-10T04:00:00.000Z
AI,,Whit Monday,public,2019-06-10 00:00:00,2019-06-10T04:00:00.000Z,2019-06-11T04:00:00.000Z
AI,,Celebration of the Birthday of Her Majesty the Queen,public,2019-06-10 00:00:00,2019-06-10T04:00:00.000Z,2019-06-11T04:00:00.000Z
AI,,August Thursday,public,2019-08-01 00:00:00,2019-08-01T04:00:00.000Z,2019-08-02T04:00:00.000Z
AI,,Constitution Day,public,2019-08-02 00:00:00,2019-08-02T04:00:00.000Z,2019-08-03T04:00:00.000Z
AI,,August Monday,public,2019-08-05 00:00:00,2019-08-05T04:00:00.000Z,2019-08-06T04:00:00.000Z
